2022-08-22 13:26:04.107  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@58415235, org.springframework.security.web.context.SecurityContextPersistenceFilter@6cc4f043, org.springframework.security.web.header.HeaderWriterFilter@2cb07333, org.springframework.security.web.authentication.logout.LogoutFilter@215d09d9, com.cognizant.filter.JwtFilter@281ae00d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23645b0a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7897aca3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25d16657, org.springframework.security.web.session.SessionManagementFilter@6b87dac, org.springframework.security.web.access.ExceptionTranslationFilter@6ce14b73, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4053d4fa]
2022-08-22 13:26:08.722  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9095 (http) with context path '/authorization'
2022-08-22 13:26:09.652  INFO [authorizationService,,] 15180 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-22 13:26:09.764  INFO [authorizationService,,] 15180 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-22 13:26:10.099  INFO [authorizationService,,] 15180 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-22 13:26:11.247  INFO [authorizationService,,] 15180 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Started AuthorizationMicroserviceApplication in 50.325 seconds (JVM running for 56.741)
2022-08-22 13:26:13.689  INFO [authorizationService,,] 15180 --- [http-nio-9095-exec-3] o.a.c.c.C.[.[.[/authorization]           : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-22 13:26:13.689  INFO [authorizationService,,] 15180 --- [http-nio-9095-exec-3] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-22 13:26:13.693  INFO [authorizationService,,] 15180 --- [http-nio-9095-exec-3] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-08-22 13:26:14.226  INFO [authorizationService,773ba1426ebdc5e4,773ba1426ebdc5e4] 15180 --- [http-nio-9095-exec-4] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-22 13:26:14.230  INFO [authorizationService,773ba1426ebdc5e4,773ba1426ebdc5e4] 15180 --- [http-nio-9095-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 13:26:14.679  INFO [authorizationService,773ba1426ebdc5e4,773ba1426ebdc5e4] 15180 --- [http-nio-9095-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 13:26:14.689  INFO [authorizationService,773ba1426ebdc5e4,773ba1426ebdc5e4] 15180 --- [http-nio-9095-exec-4] c.c.controller.AuthorizationController   : END - generateToken
2022-08-22 13:26:16.188  INFO [authorizationService,4c146a1c5ae076ca,4c146a1c5ae076ca] 15180 --- [http-nio-9095-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 13:26:16.275  INFO [authorizationService,4c146a1c5ae076ca,4c146a1c5ae076ca] 15180 --- [http-nio-9095-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 13:27:07.101  INFO [authorizationService,38a68b5a46408b15,38a68b5a46408b15] 15180 --- [http-nio-9095-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-22 13:27:07.102  INFO [authorizationService,38a68b5a46408b15,38a68b5a46408b15] 15180 --- [http-nio-9095-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 13:27:07.103  INFO [authorizationService,38a68b5a46408b15,38a68b5a46408b15] 15180 --- [http-nio-9095-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 13:27:07.103  INFO [authorizationService,38a68b5a46408b15,38a68b5a46408b15] 15180 --- [http-nio-9095-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-08-22 13:27:07.111  INFO [authorizationService,1eb042a7db98b0d6,1eb042a7db98b0d6] 15180 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 13:27:07.112  INFO [authorizationService,1eb042a7db98b0d6,1eb042a7db98b0d6] 15180 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
